Sample,PRICE,DATE,NEIGHBORHOOD,N_CAH,N_CE,N_OC1,N_OC2,N_RSW,CLUSTER,WARD,OUTLIER 3s,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
0.8475432003,534,18/11/2009,OLD CITY II,0,0,0,1,0,7,6,,95,693,2,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8503075447,527,15/05/2008,OLD CITY II,0,0,0,1,0,7,6,,127,787,1,1,1,0,1,0,1,0,4,1411.07,437.72,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8511160301,460,26/05/2009,OLD CITY I,0,0,1,0,0,25,6,,35,822,2,1,2,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8513736258,381,02/12/2008,OLD CITY I,0,0,1,0,0,25,6,,618,1040,53,1,1,0,1,1,1,0,4,991.31,220.23,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8513963829,498,16/10/2008,OLD CITY I,0,0,1,0,0,25,6,,381,763,0,1,2,0,1,1,1,0,4,490.02,442.10,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8535481041,542,17/01/2008,OLD CITY II,0,0,0,1,0,7,6,,93,692,1,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8540260802,379,28/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,618,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8549665905,494,29/04/2008,OLD CITY I,0,0,1,0,0,25,6,,29,684,1,1,1,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.855919384,402,19/03/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,620,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8565621482,636,03/01/2008,OLD CITY II,0,0,0,1,0,7,6,,78,621,3,1,1,0,1,1,1,0,4,1104.05,377.51,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8579782921,403,22/02/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,581,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8587219237,355,12/03/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,581,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8604886905,311,05/03/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,620,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8608995476,460,19/03/2009,OLD CITY II,0,0,0,1,0,7,6,,8,668,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8611115232,495,11/08/2009,OLD CITY II,0,0,0,1,0,7,6,,9,696,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
